id,start,end,emotion,valence,arousal,dominance,transcription
Ses01M_impro02_M023,183.77,189.08,sad,1.5,2.5,3.5,"I really don't want to go, I don't want to go..."
Ses01M_impro02_M024,198.55,201.28,xxx,1.5,2.5,1.5,I'm scared.
Ses01M_impro02_M025,214.59,217.04,sad,3.0,2.5,3.5,I love you.
Ses01M_impro03_F000,5.02,6.85,xxx,3.5,3.0,2.5,What?
Ses01M_impro03_F001,10.79,12.08,sur,4.0,3.5,3.0,[BREATHING]
Ses01M_impro03_F002,12.37,13.7468,exc,2.5,3.0,3.0,Why?
Ses01M_impro03_F003,16.19,17.7425,exc,3.5,3.0,3.0,Is she on the run?
Ses01M_impro03_F004,19.6,22.1975,exc,4.0,3.5,3.5,"Oh, she just needs to marry you."
Ses01M_impro03_F005,26.0,33.21,exc,4.5,4.5,4.0,That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.
Ses01M_impro03_F006,35.5,39.235,exc,4.0,4.5,4.5,That's so cool. Uh huh.
Ses01M_impro03_F007,39.45,43.78,exc,5.0,4.0,4.5,[LAUGHTER] Why did she pick you? Where were you?
Ses01M_impro03_F008,47.32,54.52,exc,4.0,3.5,4.0,You were at a party? And she's like hey. You seem unattached she's like.
Ses01M_impro03_F009,55.9325,59.71,exc,4.0,3.5,3.0,That's unbelievable... Yeah.
Ses01M_impro03_F010,61.1325,72.19,exc,3.5,4.5,4.0,Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...
Ses01M_impro03_F011,72.4875,80.9,exc,4.5,3.5,4.0,"Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money"
Ses01M_impro03_F012,80.93,88.45,exc,4.0,3.5,4.0,"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something."
Ses01M_impro03_F013,90.11,91.84,exc,4.5,3.5,4.0,Yeah.
Ses01M_impro03_F014,92.87,96.13,exc,4.5,4.0,4.0,"Dude, you lucked out."
Ses01M_impro03_F015,97.35,103.9875,exc,4.5,4.5,4.5,"Yeah.  My colors are blush and beige what is it, do you know?"
Ses01M_impro03_F016,104.6375,109.06,exc,4.5,4.0,4.0,Oh I don't know. [LAUGHTER]
Ses01M_impro03_F017,113.79,116.7,neu,3.0,2.0,2.5,I don't know get it in cash.
Ses01M_impro03_F018,117.21,118.47,neu,3.5,2.5,3.0,Yeah.
Ses01M_impro03_F019,120.03,123.64,exc,4.0,4.0,3.5,How exciting. You should have a wedding on the beach.
Ses01M_impro03_F020,123.96,125.74,exc,4.0,3.0,2.5,"Yeah, at night."
Ses01M_impro03_F021,128.06,131.59,neu,3.5,3.0,3.5,"Oh yeah, absolutely, absolutely."
Ses01M_impro03_F022,132.16,136.15,exc,4.5,4.0,3.5,How exciting.  You should make her bring all your friends too.
Ses01M_impro03_F023,136.29,144.07,exc,4.0,4.5,4.0,[GARBAGE] She's got to be loaded.  fifty thousand dollars.  That's incredible.
Ses01M_impro03_F024,144.61,146.41,exc,4.0,3.0,3.0,Incredible.
Ses01M_impro03_F025,147.17,150.845,exc,4.0,3.5,3.0,"you're a lucky, lucky, lucky man."
Ses01M_impro03_F026,151.26,153.9075,exc,4.0,3.5,3.5,"Oh, totally. Yeah."
Ses01M_impro03_M000,2.92,5.56,exc,4.0,3.0,2.5,The craziest thing just happened to me.
Ses01M_impro03_M001,6.31,11.57,exc,3.5,3.5,3.0,This girl; she just offered me fifty thousand dollars to marry her.
Ses01M_impro03_M002,11.7,12.98,xxx,3.5,2.5,2.5,Yeah.
Ses01M_impro03_M003,13.26,16.87,neu,3.5,2.5,2.5,"Well, she's not a citizen so she wants to get a visa."
Ses01M_impro03_M004,17.28,26.54,exc,3.5,4.0,4.0,"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years."
Ses01M_impro03_M005,26.6,30.79,exc,4.5,4.5,4.0,That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?
Ses01M_impro03_M006,32.05,39.5125,neu,4.0,4.0,3.0,"She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask."
Ses01M_impro03_M007,39.5775,47.66,exc,5.0,4.5,4.5,"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like..."
Ses01M_impro03_M008,48.08,63.1475,exc,4.0,4.0,3.5,"Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but..."
Ses01M_impro03_M009,63.635,64.95,xxx,3.5,2.5,2.5,Have you?
Ses01M_impro03_M010,70.95,73.63,exc,4.0,4.0,3.5,It's like I'm really going to get married. We'll have like the whole thing.
Ses01M_impro03_M011,73.67,75.96,exc,4.5,4.0,3.5,"Oh, good. [LAUGHTER]"
Ses01M_impro03_M012,80.76,82.48,exc,4.0,3.0,3.0,I know. What do you think I should-
Ses01M_impro03_M013,84.5075,86.66,exc,4.0,2.5,3.0,Oh good idea.
Ses01M_impro03_M014,87.42,90.96,neu,3.0,3.0,3.0,Yeah.  Make her like open the bank account and stuff too.
Ses01M_impro03_M015,91.37,93.47,exc,3.5,2.5,3.0,It's a good idea.
Ses01M_impro03_M016,94.77,98.7,exc,4.5,4.0,3.5,I know.  Also I get to like plan the wedding now too. That will be fun.
Ses01M_impro03_M017,103.1,114.43,exc,4.0,4.0,3.0,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?"
Ses01M_impro03_M018,115.84,117.89,neu,3.0,2.0,2.5,Just cash hardcore.
Ses01M_impro03_M019,117.98,121.76,exc,3.5,3.0,2.5,What should we do?  Where should we get married? We should have party.
Ses01M_impro03_M020,121.83,125.14,exc,3.5,3.0,3.5,"Yeah, like a big like- A wedding on the beach, that would be nice."
Ses01M_impro03_M021,125.32,134.0075,neu,3.5,3.0,3.5,And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.
Ses01M_impro03_M022,135.66,145.44,exc,3.5,4.5,4.0,I'll make her pay for that.  I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.
Ses01M_impro03_M023,145.97,150.51,exc,4.5,3.5,3.5,I'm going to marry a blue blood. [LAUGHTER]
Ses01M_impro03_M024,150.58,152.04,exc,4.0,3.0,3.0,Will you help me plan?
Ses01M_impro03_M025,152.1,153.25,xxx,4.0,2.5,3.0,Good.
Ses01M_impro01_F000,6.77,8.46,ang,1.5,3.5,4.5,Next.
Ses01M_impro01_F001,8.55,10.6,ang,2.5,3.5,3.5,My window is open.
Ses01M_impro01_F002,14.46,18.23,xxx,3.0,3.0,3.5,This is... Your last- Your first name is Jones?
Ses01M_impro01_F003,19.48,23.43,xxx,3.0,3.0,3.0,That's just strange I figured you filled in wrong sections.
Ses01M_impro01_F004,23.43,26.4675,fru,2.5,3.5,3.5,What are you... what's...What are you applying for?
Ses01M_impro01_F005,28.41,30.96,xxx,2.5,3.0,3.5,Another ID?
Ses01M_impro01_F006,36.15,38.6,xxx,2.5,3.0,4.0,Fine.  So I need ID.
Ses01M_impro01_F007,39.89,43.31,ang,2.0,3.5,4.0,"No, I need your ID to give you a second ID."
Ses01M_impro01_F008,43.31,47.0461,ang,1.5,4.0,4.5,It's really simple if you have a problem with it... Maybe you should--
Ses01M_impro01_F009,52.34,55.12,xxx,2.5,2.5,4.0,"Well, do you have your passport?"
Ses01M_impro01_F010,56.16,58.18,fru,3.0,3.0,4.0,You have a birth certificate?
Ses01M_impro01_F011,61.05,63.21,ang,2.0,4.0,4.5,What do you expect me to do?
Ses01M_impro01_F012,65.545,67.47,ang,2.5,2.5,4.0,Probably.
Ses01M_impro01_F013,69.45,70.84,xxx,3.0,2.5,3.5,Joy.
Ses01M_impro01_F014,71.365,74.46,xxx,2.5,3.0,3.0,Hi.   You know...
Ses01M_impro01_F015,74.6775,80.6875,fru,1.5,4.0,4.5,I am..I don't..I don't understand what you want.  A driver's license or a California ID.
Ses01M_impro01_F016,86.34,87.87,xxx,3.0,3.0,3.0,Okay.
Ses01M_impro01_F017,91.28,94.535,xxx,3.0,3.0,3.5,"What... well, do you have a driver's license?"
Ses01M_impro01_F018,95.24,98.21,xxx,2.5,3.0,4.0,Then how am I supposed to give you a California ID?
Ses01M_impro01_F019,98.46,102.07,ang,1.0,4.5,4.5,Don't raise your voice with me.
Ses01M_impro01_F020,105.76,109.09,ang,1.0,4.0,5.0,Don't talk to me like I'm a child.
Ses01M_impro01_F021,109.19,114.1025,ang,1.0,4.5,5.0,Do you know how long I've been working here? How long have you lived in California?
Ses01M_impro01_F022,114.13,124.82,ang,1.0,5.0,5.0,"Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one."
Ses01M_impro01_F023,129.12,131.0325,xxx,3.0,2.5,3.0,I'm perfectly calm.
Ses01M_impro01_F024,132.89,136.6025,neu,3.0,2.5,3.0,Uh huh.  I didn't come here get in yelling match either.
Ses01M_impro01_F025,137.06,140.49,neu,3.0,3.0,4.0,They don't pay me enough to deal people like you.
Ses01M_impro01_F026,146.6075,148.26,xxx,3.0,3.0,3.0,Why?
Ses01M_impro01_F027,148.58,149.67,xxx,3.0,2.5,3.0,Yeah.
Ses01M_impro01_F028,156.15,160.51,xxx,1.5,3.0,4.5,"So you're not going to send me a thank you card, is that a problem? Is your are not going..."
Ses01M_impro01_F029,160.7,164.825,xxx,1.5,3.5,4.5,"Oh, dear. Oh, boo-foo-woo, foo-foo."
Ses01M_impro01_F030,164.8725,167.21,xxx,2.5,2.5,4.0,Sit back down.
Ses01M_impro01_M000,8.2208,11.28,fru,3.0,3.5,2.5,"Yes, me. Okay, okay here we go."
Ses01M_impro01_M001,11.32,13.77,fru,2.5,3.5,3.0,"Okay, so filled out all these forms  --"
Ses01M_impro01_M002,13.77,16.88,fru,2.5,3.0,3.5,and I have This form of ID here so...
Ses01M_impro01_M003,17.66,20.14,neu,2.5,3.0,2.5,"Yes, Jones."
Ses01M_impro01_M004,22.89,24.28,xxx,2.5,2.5,2.0,Well...
Ses01M_impro01_M005,25.94,29.07,fru,2.5,3.0,3.5,I'm just applying for another ID.
Ses01M_impro01_M006,29.39,38.15,fru,1.5,4.0,4.5,"Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another..."
Ses01M_impro01_M007,38.33,40.27,fru,2.0,3.5,3.5,"I have it right here, yes."
Ses01M_impro01_M008,46.01,47.11,fru,2.0,3.0,3.0,But that's...
Ses01M_impro01_M009,47.11,52.42,fru,1.5,4.0,4.5,"That's why I'm here, that's why I was waiting in this line.  I need to get another form of ID."
Ses01M_impro01_M010,54.49,56.71,neu,2.0,3.0,3.0,"No, I don't have a passport."
Ses01M_impro01_M011,57.79,62.28,fru,2.0,3.5,4.0,"I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean..."
Ses01M_impro01_M012,62.78,66.03,fru,2.0,3.5,3.5,I probably have to go wait another line to get my birth certificate don't I?
Ses01M_impro01_M013,66.8475,70.04,fru,2.5,3.0,3.5,You're very helpful.  What's your name?
Ses01M_impro01_M014,70.515,71.695,xxx,3.5,2.5,3.0,"Hi, Joy."
Ses01M_impro01_M015,73.1425,75.0125,fru,2.0,3.5,4.0,So can you help me or not?
Ses01M_impro01_M016,80.19,82.3,fru,2.5,4.0,3.0,Okay. [BREATHING]
Ses01M_impro01_M017,83.63,86.36,fru,2.5,3.5,4.0,I need California ID.
Ses01M_impro01_M018,86.38,92.05,fru,1.5,4.5,4.5,On top of these other two forms of ID which I already have.
Ses01M_impro01_M019,93.88,96.79,fru,2.0,3.5,3.5,"No, I don't have driver's license."
Ses01M_impro01_M020,96.91,100.53,ang,1.5,4.5,4.0,Did you even look at the form?  I filled it out all these questions--
Ses01M_impro01_M021,102.17,107.5,xxx,1.5,4.0,4.5,Did you even look at the form?  I've already answered these question.
Ses01M_impro01_M022,109.14,110.51,fru,2.5,2.5,3.0,Okay.
Ses01M_impro01_M023,110.69,113.22,fru,2.0,2.5,3.0,If it makes you stop acting like a child.
Ses01M_impro01_M024,113.5575,116.18,xxx,1.5,4.0,4.0,I have been to California my whole--
Ses01M_impro01_M025,118.835,122.18,ang,1.5,4.0,4.5,I am not...I'm not getting to back that line.
Ses01M_impro01_M026,123.99,130.72,fru,3.0,3.0,4.0,"Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match."
Ses01M_impro01_M027,130.72,134.185,fru,2.5,4.0,4.0,"I did not come in here to get in a yelling match with you, all right?"
Ses01M_impro01_M028,136.11,138.51,fru,2.5,3.0,3.0,Just try and help me.
Ses01M_impro01_M029,139.96,147.95,xxx,2.0,4.0,4.0,"People like me, what is that supposed to mean?  You know, this is ridiculous.  Is there like a manager here, is there someone else that I can talk to?"
Ses01M_impro01_M030,148.0,149.12,ang,1.5,3.0,4.0,Why?
Ses01M_impro01_M031,149.18,151.85,ang,1.5,3.5,4.5,"Why, because I'm sick of talking to you."
Ses01M_impro01_M032,151.85,157.36,ang,1.5,4.5,4.5,"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right."
Ses01M_impro01_M033,158.63,163.6625,fru,1.0,3.5,4.5,"Oh, no honey. And you're going to miss the Christmas card too. It's a shame. It's going to be a good, nice picture."
Ses01M_impro04_F000,9.0256,11.695,neu,2.5,2.5,3.5,You seem kind of down.
Ses01M_impro04_F001,13.372,15.225,xxx,2.5,3.0,3.5,How come?
Ses01M_impro04_F002,21.3952,23.2492,neu,2.5,2.5,3.0,What do you mean?
Ses01M_impro04_F003,31.256,34.4725,neu,2.5,2.0,3.0,There's a lot of people looking for jobs.
Ses01M_impro04_F004,47.75,50.5,neu,2.5,2.5,2.5,"I don't know, I mean, I just don't think..."
Ses01M_impro04_F005,63.33,66.63,neu,3.0,2.0,2.5,Did you ever think it might be your attitude that's...
Ses01M_impro04_F006,67.45,74.04,neu,2.5,2.0,3.0,"I don't know just sometimes you get kind of... No, I'm not saying that.  I just--"
Ses01M_impro04_F007,74.21,77.53,neu,3.0,3.0,2.5,...has anyone ever just said anything like that to you before?
Ses01M_impro04_F008,84.99,87.2706,neu,3.0,3.5,3.0,"Right, sure."
Ses01M_impro04_F009,87.29,91.63,neu,2.5,2.5,3.5,"But I mean you kind of got to, you got to fake it 'til you feel it, right?"
Ses01M_impro04_F010,95.19,103.235,neu,2.5,3.0,3.5,I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.
Ses01M_impro04_F011,104.73,116.885,neu,2.5,3.5,3.5,No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.
Ses01M_impro04_F012,118.0,119.79,neu,2.5,3.0,3.5,No.
Ses01M_impro04_F013,120.22,125.24,neu,2.5,3.0,2.5,"Well, you know a little.  If you were to listen to--"
Ses01M_impro04_F014,128.79,131.74,neu,3.0,2.5,3.5,I just don't want you to fly off the handle.
Ses01M_impro04_F015,135.94,138.22,neu,3.0,2.5,2.5,You kind of have a short fuse.
Ses01M_impro04_F016,138.5,139.99,neu,2.5,2.5,2.5,Yeah.
Ses01M_impro04_F017,141.06,145.04,neu,3.0,3.0,2.5,"Like this, right now we're trying have a conversation."
Ses01M_impro04_F018,145.21,153.05,neu,2.5,3.5,3.5,We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.
Ses01M_impro04_F019,153.75,157.795,neu,2.5,3.0,4.0,I can't finish the sentence with you without you jumping in...
Ses01M_impro04_F020,157.97,160.35,neu,2.5,3.0,3.5,...and you're always right.
Ses01M_impro04_F021,162.17,164.99,neu,3.5,2.5,3.0,You have an excuse for everything.
Ses01M_impro04_F022,166.29,172.94,neu,3.0,3.0,3.5,I'm just saying that maybe you should take in some information before you produce more of your own.
Ses01M_impro04_F023,178.1672,181.0057,neu,4.0,3.5,3.0,[BREATHING]
Ses01M_impro04_F024,182.2975,183.86,fru,4.0,3.0,2.5,That's -.
Ses01M_impro04_F025,186.3825,189.6225,neu,3.0,3.5,3.0,"Well, what kind of field are you looking to go into?"
Ses01M_impro04_M000,11.5885,13.5675,xxx,2.5,2.5,3.5,I'm just mad.
Ses01M_impro04_M001,15.05,19.23,fru,2.5,4.0,3.5,It's--I've been trying to find this job I can't get any job.
Ses01M_impro04_M002,19.36,21.4936,fru,2.5,3.0,3.5,It's not fair.
Ses01M_impro04_M003,23.0031,31.9779,fru,1.5,3.5,4.5,"I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job."
Ses01M_impro04_M004,34.1437,46.84,fru,2.5,4.0,4.0,"I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know."
Ses01M_impro04_M005,49.91,63.66,fru,2.0,4.0,4.5,"I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know."
Ses01M_impro04_M006,65.49,67.92,xxx,2.0,4.0,4.0,"What's my--like what do you mean ""my attitude""?"
Ses01M_impro04_M007,69.79,71.78,xxx,1.5,4.5,4.0,Do I have an attitude problem?
Ses01M_impro04_M008,76.39,80.53,fru,1.5,4.5,4.0,"No, well maybe it's because I'm like frustrated 'cause I can't get a job, you know."
Ses01M_impro04_M009,80.55,86.09,fru,2.0,4.5,4.5,"Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean?"
Ses01M_impro04_M010,91.06,95.765,fru,1.5,3.5,4.5,"I guess I just getting really hard to fake, you know."
Ses01M_impro04_M011,99.19,106.69,fru,2.5,4.0,4.0,"Are you hiring? Wait, do you know of a job? Seriously, do you know, like do you know of anything though?  Like, oh please, do you know of anything?"
Ses01M_impro04_M012,110.43,112.21,fru,2.5,3.0,3.0,Yeah.
Ses01M_impro04_M013,116.39,118.58,fru,1.5,3.0,4.0,I come across angry?
Ses01M_impro04_M014,119.31,120.59,ang,2.5,2.5,2.5,What?
Ses01M_impro04_M015,124.0,129.71,fru,2.0,4.5,4.5,"Okay.  You're my friend you can tell me stuff.  You can tell me honestly stuff, okay?  Please."
Ses01M_impro04_M016,131.2094,136.86,fru,2.0,4.0,4.0,"Okay, I'm not flying off the handle I don't think I'm flying off the handle here at all."
Ses01M_impro04_M017,137.35,139.06,fru,2.0,3.5,4.0,I have a short fuse?
Ses01M_impro04_M018,139.46,147.2,ang,1.5,5.0,4.5,"Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it."
Ses01M_impro04_M019,148.38,151.84,xxx,2.0,4.5,4.5,"Well, it's 'cause I can't get a job, okay?"
Ses01M_impro04_M020,159.77,161.86,fru,2.0,3.5,3.5,I'm not always right I'm just--
Ses01M_impro04_M021,161.95,163.61,xxx,2.5,3.5,3.0,fine okay.
Ses01M_impro04_M022,164.74,166.5275,fru,2.5,3.0,3.0,[BREATHING]
Ses01M_impro04_M023,172.34,178.643,ang,2.0,4.5,5.0,I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.
Ses01M_impro04_M024,182.88,186.445,fru,2.0,4.0,3.5,"You know, and like I don't think it's that much to ask. I know."
Ses01M_impro04_M025,189.3,190.8275,neu,4.5,4.5,1.0,That's it.
Ses01M_impro05_F000,2.2687,4.32,neu,3.0,3.0,3.0,Can I help you?
Ses01M_impro05_F001,7.23,9.88,neu,3.0,2.5,3.5,I need a little more information.
Ses01M_impro05_F002,10.1725,13.7,neu,3.0,2.5,3.5,What- What flight did you come in on?
Ses01M_impro05_F003,15.125,16.415,neu,3.0,3.5,2.5,Georgia?
Ses01M_impro05_F004,17.97,22.03,neu,3.0,3.0,3.5,"There's no need for you to raise your voice, sir."
Ses01M_impro05_F005,22.2,25.06,neu,2.5,2.5,3.0,I've been college educated.
Ses01M_impro05_F006,25.1125,27.86,neu,2.5,2.5,3.0,I speak your language.
Ses01M_impro05_F007,30.5125,33.31,neu,2.5,2.0,3.0,I'm just saying you don't need to talk to me like I-
Ses01M_impro05_F008,34.42,36.41,fru,2.0,2.5,3.5,I'm not a child.
Ses01M_impro05_F009,37.4,39.99,xxx,2.0,3.0,4.0,I've been here for sixteen.
Ses01M_impro05_F010,40.845,43.1575,xxx,2.0,3.0,3.5,I come here every single day.
Ses01M_impro05_F011,45.67,49.92,neu,3.5,3.0,3.5,"Details, Details.  Well, anyhow can I--"
Ses01M_impro05_F012,49.92,52.31,neu,3.0,3.5,3.5,so you flew in from Atlanta...
Ses01M_impro05_F013,53.7075,56.24,neu,3.0,2.5,3.5,Four...Four hours ago.
Ses01M_impro05_F014,58.5,60.23,neu,3.0,2.5,3.0,Do you have any i-?
Ses01M_impro05_F015,61.48,67.48,neu,2.5,3.5,4.0,I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.
Ses01M_impro05_F016,67.51,73.25,neu,2.5,3.0,4.0,I had nothing to do with the boarding attendance.  I'm sorry that your seat was wherever it was.
Ses01M_impro05_F017,91.41,100.24,neu,2.5,3.0,3.0,"I have some unfortunate news, uh, that your bag isn't going to be--"
Ses01M_impro05_F018,100.24,102.86,neu,3.0,3.0,3.5,--arriving any time soon.
Ses01M_impro05_F019,102.92,106.17,neu,2.0,4.0,4.0,I'm really sorry to tell you this but...
Ses01M_impro05_F020,107.93,114.19,neu,3.5,3.5,4.0,It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...
Ses01M_impro05_F021,114.19,115.47,neu,3.0,2.5,3.0,...and your future...
Ses01M_impro05_F022,117.22,118.7,neu,3.0,2.5,3.0,No.
Ses01M_impro05_F023,119.6225,121.23,neu,3.0,2.5,3.0,Yes.
Ses01M_impro05_F024,125.2,127.13,neu,3.0,3.0,3.5,We've actually...
Ses01M_impro05_F025,129.24,133.83,neu,3.0,3.0,3.0,They do as matter of fact.  We don't like to publicize it because
Ses01M_impro05_F026,133.83,136.87,neu,3.0,2.0,3.0,people wouldn't Fly our airline.
Ses01M_impro05_F027,142.65,144.12,neu,3.0,2.5,2.5,What was that?
Ses01M_impro05_F028,148.72,150.76,neu,2.5,2.0,3.0,That's unfortunate.
Ses01M_impro05_F029,155.57,157.29,neu,2.5,2.5,2.5,That's too bad.
Ses01M_impro05_F030,158.87,160.93,neu,2.5,2.5,3.5,I wish I could give it to you.
Ses01M_impro05_F031,161.34,162.59,neu,2.5,3.0,2.5,I wish I-
Ses01M_impro05_F032,163.69,166.1,neu,2.0,2.5,3.5,That's not - no.
Ses01M_impro05_F033,166.37,167.6,neu,3.0,2.5,3.0,No.
Ses01M_impro05_F034,173.09,178.46,neu,2.0,3.5,3.5,We have plenty of aggressive searching going on it's not there.  Someone's taken it.
Ses01M_impro05_F035,186.33,190.02,fru,2.5,2.5,3.5,You know I don't need to take this sort of abuse.
Ses01M_impro05_F036,192.91,194.75,xxx,3.0,2.5,3.5,That's fantastic.
Ses01M_impro05_F037,194.9425,201.75,xxx,2.5,2.5,3.0,Then why don't you take your fifty dollars. Get yourself a taxi and go shopping tomorrow.
Ses01M_impro05_M000,3.71,7.82,fru,1.5,3.5,4.5,"Yes, please help me.  Where is my bag?"
